Common Name,Scientific Name,Local Status,Order,Family,Text 1 Heading,Text 1 Body,Text 2 Heading,Text 2 Body,Text 3 Heading,Text 3 Body
Fowler's Toad,(Anaxyrus fowleri),Native,Amphibians,Frogs,Habitat,"Forests, wetlands",Diet,Insects,Fun Fact,"The male Fowler's toad's mating call happens to also attract other males. Males also have a special ""release call"" for when another male tries to mate by mistake."
Green Treefrog,(Dryophytes cinereus),Native,Amphibians,Frogs,Habitat,Bodies of water near vegetation,Diet,Insects,Fun Fact,"During mating season, males will eavesdrop on each other's mating calls in order to get a head start on approaching females."
Gray Treefrog,(Dryophytes versicolor),Native,Amphibians,Frogs,Habitat,"Trees, mossy fences",Diet,"Roaches, earthworms, and other invertebrates",Fun Fact,"Gray treefrogs will sometimes congregate around windows and porch lights, a perfect place to catch bugs attracted to the glow."
Coastal Plains Leopard Frog,(Lithobates sphenocephalus utricularius),Native,Amphibians,Frogs,Habitat,"Ponds, swamps, ditches",Diet,"Insects, crayfish, spiders",Fun Fact,"This species mates nearly year-round, breeding in all months except September."
Pickerel Frog,(Lithobates palustris),Native,Amphibians,Frogs,Habitat,"Cold, clear streams",Diet,"Insects, spiders",Fun Fact,"Their skin secretions are lethal to other frogs and predators, making this the only poisonous frog species native to the United States."
Southern Cricket Frog,(Acris gryllus),Native,Amphibians,Frogs,Habitat,Sunny ponds and swamps,Diet,"Insects, spiders",Fun Fact,This species is able to navigate during migration using the moon and stellar patterns.
Spring Peeper,(Pseudacris crucifer),Native,Amphibians,Frogs,Habitat,"Lowland marshes, wetlands",Diet,"Insects, spiders",Fun Fact,"The Latin name, ""crucifer"", means ""cross-bearing"" and refers to the cross-shaped pattern on its back."
Marbled Salamander,(Ambystoma opacum),Native,Amphibians,Salamanders,Habitat,Mature deciduous forests,Diet,"Millipedes, centipedes, insects, spiders, snails",Fun Fact,"Mothers of this species will wrap their bodies around their egg cluster, collecting a pool of water for the eggs to hatch in."
Red-spotted Newt,(Notophthalmus viridescens viridescens),Native,Amphibians,Salamanders,Habitat,"Pools, wetlands, quiet streams",Diet,"Insects, crustaceans, young amphibians, frog eggs",Fun Fact,Their bright coloring serves as a warning to predators of the poisonous tetrodotoxin secreted through their skin.
Spotted Salamander,(Ambystoma maculatum),Native,Amphibians,Salamanders,Habitat,Forests with ponds,Diet,"Earthworms, slugs, insects, etc.",Fun Fact,"These salamanders have a long lifespan, with many living for 20 years and some even living for 30."
Three-lined Salamander,(Eurycea guttolineata),Native,Amphibians,Salamanders,Habitat,"Forested floodplains, ditches",Diet,"Snails, snail eggs, insects, spiders",Fun Fact,"When threatened, they respond by curling up their body, tucking their head, and waving their tail."
White-spotted Slimy Salamander,(Plethodon cylindraceus),Native,Amphibians,Salamanders,Habitat,Forests,Diet,"Ants, centipedes, slugs, earthworms",Fun Fact,"This species of salamander is unique in that it lays its eggs on land, skipping the typical aquatic larval stage that most amphibians share."
Common Five-lined Skink,(Plestiodon fasciatus),Native,Reptiles,Lizards,Habitat,Forests near fresh water,Diet,"Insects, spiders",Fun Fact,"When caught by a predator, a skink is able to disconnect its entire tail in order to escape."
Broad-headed Skink,(Plestiodon laticeps),Native,Reptiles,Lizards,Habitat,Open forested areas,Diet,"Insects, insect larvae, gastropods, spiders",Fun Fact,"During mating season, females will emit a pheromone from their tail that males can track by flicking their tongue."
Eastern Fence Lizard,(Sceloporus undulatus),Native,Reptiles,Lizards,Habitat,Open pine woods,Diet,"Ants, grasshoppers, other insects",Fun Fact,"These lizards exhibit a behavior called ""jiggling"" - a short series of head bobs that generally indicates arousal."
Eastern Six-lined Racerunner,(Aspidoscelis sexlineata sexlineata),Native,Reptiles,Lizards,Habitat,"Grasslands, woodlands, floodplains",Diet,"Insects, especially termites",Fun Fact,They're shy and extremely quick - able to dart away at speeds up to 18 mph (29 kmh).
Eastern Copperhead,(Agkistrodon contortrix),Native,Reptiles,Snakes,Habitat,Deciduous forest and mixed woodlands,Diet,"Cicadas, caterpillars, lizards, voles, mice, etc.",Fun Fact,"This snake can vibrate its tail more than 40 times a second, more than almost any other non-rattlesnake species."
Eastern Gartersnake,(Thamnophis sirtalis sirtalis),Native,Reptiles,Snakes,Habitat,"Forests, grasslands, with moisture nearby",Diet,"Earthworms, frogs, etc.",Fun Fact,Juveniles can strike at predators with so much force that their entire body leaves the ground.
Eastern Hog-nosed Snake,(Heterodon platirhinos),Native,Reptiles,Snakes,Habitat,Forests and fields with sandy soil,Diet,Toads,Fun Fact,"Generally docile, this snake will elaborately feign its own death if provoked."
Eastern Kingsnake,(Lampropeltis getula),Native,Reptiles,Snakes,Habitat,"Forests, fields, swamps, marshes, creeks",Diet,"Snakes, lizards",Fun Fact,"You read the Diet section correctly - these snakes are known for hunting and killing other snakes, including venemous ones."
Central Ratsnake,(Pantherophis alleghaniensis),Native,Reptiles,Snakes,Habitat,"Forests, wetlands, urban areas",Diet,"Rodents, birds, eggs",Fun Fact,The most commonly-observed snake in Virginia. They are often seen climbing trees to get to bird nests.
Northern Watersnake,(Nerodia sipedon sipedon),Native,Reptiles,Snakes,Habitat,"Lakes, ponds, rivers, etc",Diet,"Fish, amphibians",Fun Fact,"Often killed by humans misidentifying it as a cottonmouth; these have a thin body and round pupils, whereas they have a fat body and cat-like pupils."
Eastern Wormsnake,(Carphophis amoenus amoenus),Native,Reptiles,Snakes,Habitat,Forests and wooded habitats with soft soil,Diet,Worms,Fun Fact,"When held, this snake will attempt to ""burrow"" between your fingers."
Northern Black Racer,(Coluber constrictor constrictor),Native,Reptiles,Snakes,Habitat,"Dry, grassy areas",Diet,"Insects, lizards, frogs, other snakes, small mammals, etc.",Fun Fact,"Despite the word ""constrictor"" in their Latin name, these snakes kill prey by pinning them down and swallowing them alive."
Northern Ring-necked Snake,(Diadophis punctatus edwardsii),Native,Reptiles,Snakes,Habitat,"Forests, urban areas",Diet,"Worms, salamanders, lizards",Fun Fact,"Instead of biting, these snakes release foul-smelling feces when caught."
Northern Rough Greensnake,(Opheodrys aestivus),Native,Reptiles,Snakes,Habitat,"Trees, shrubs lining ponds",Diet,Insects,Fun Fact,"At night, these snakes are found sleeping coiled in the branches of trees."
Red Cornsnake,(Pantherophis guttatus),Native,Reptiles,Snakes,Habitat,Hardwood forests,Diet,Rodents,Fun Fact,"These snakes are seldom seen, often using rodent burrows and tree roots for shelter."
Eastern Musk Turtle,(Sternotherus odoratus),Native,Reptiles,Turtles,Habitat,"Ponds, lakes, swamps, rivers, marshes",Diet,"Seeds, insects, crayfish, snails",Fun Fact,"Also called ""stinkpots"", these turtles discharge a foul-smelling odor when disturbed."
Eastern Painted Turtle,(Chrysemys picta picta),Native,Reptiles,Turtles,Habitat,"Ponds, lakes, swamps, rivers, marshes",Diet,"Insects, fish, algae, etc.",Fun Fact,A two-headed Eastern Painted Turtle was fonud in Chesterfield County in 1973.
Eastern River Cooter,(Pseudemys concinna concinna),Native,Reptiles,Turtles,Habitat,"Rivers; occasionally lakes, ponds",Diet," Aquatic plants, algae",Fun Fact,The shape of the Eastern River Cooter's nasal area allows it to breathe while totally submerged.
North American Snapping Turtle,(Chelydra serpentina),Native,Reptiles,Turtles,Habitat,"Ponds, lakes, swamps, rivers, marshes",Diet,"Insects, fish, amphibians, reptiles, birds, small mammals",Fun Fact,"Despite the popular conception, common snapping turtles are actually quite docile and prefer to avoid confrontation."
Southeastern Mud Turtle,(Kinosternon subrubrum subrubrum),Native,Reptiles,Turtles,Habitat,"Ponds, lakes, swamps, rivers, marshes",Diet,"Insects, snails, crustaceans, frogs, aquatic plants",Fun Fact,These turtles hide in substrate or mulkrat burrows over the winter.
Woodland Box Turtle,(Terrapene carolina carolina),Native,Reptiles,Turtles,Habitat,"Forests, swamps",Diet,"Worms, snails, insects, fruit, berries, etc.",Fun Fact,"In captivity, box turtles have been known to live for over 100 years."
Great Blue Heron,Ardea herodias,Native,Birds,Wading Birds,Habitat,"Freshwater and coastal wetlands, marshes",Diet,"Fish; sometimes amphibians, reptiles, small mammals",Fun Fact,"They have excellent photoreceptors, allowing them to hunt at nighttime."
Great Egret,Ardea alba,Native,Birds,Wading Birds,Habitat,"Marshes, tidal flats, shallow wetlands",Diet,"Fish; sometimes frogs, insects, crustaceans",Fun Fact,"Their large wings, flapping twice per second, can propel them at around 25 mph (40 kmh)."
Yellow-crowned Night Heron,Nyctanassa violacea,Native,Birds,Wading Birds,Habitat,"Coastal wetlands, mangroves, swamps",Diet,"Crustaceans; sometimes fish, insects",Fun Fact,These herons don't mind human company and can often be found nesting on neighborhood rooftops.
Green Heron,Butorides virescens,Native,Birds,Wading Birds,Habitat,"Coastal and inland wetlands, ponds, lakes",Diet,"Fish; sometimes frogs, aquatic insects, worms, rodents",Fun Fact,"Green Herons can actually use tools, turning bread crusts and insects into fishing lures."
Double-crested Cormorant,Nannopterum auritum,Native,Birds,Cormorants,Habitat,"Lakes, rivers, ponds",Diet,Fish,Fun Fact,Mother cormorants will collect water in their mouths to bring home to their chicks.
Ruby-throated Hummingbird,Archilochus colubris,Native,Birds,Hummingbirds,Habitat,"Deciduous woodlands, meadows, backyards",Diet,Flower nectar; sometimes small insects,Fun Fact,Their wings beat over 50 times per second.
Mourning Dove,Zenaida macroura,Native,Birds,Pigeons and Doves,Habitat,"Fields, forest edges",Diet,Seeds,Fun Fact,"They feed by searching the ground for seeds, typically collecting them in a pocket of the esophagus to be eaten later."
Eurasian Collared-Dove,Streptopelia decaocto,Native,Birds,Pigeons and Doves,Habitat,Cities and suburbs,Diet,"Seeds, grain",Fun Fact,One of the few bird species that can use their beaks as a straw to drink water.
Canada Goose,Branta canadensis,Native,Birds,Ducks and Geese,Habitat,"Parks, lawns, golf courses",Diet,"Grass, seeds and berries",Fun Fact,"Famous for their migration patterns, Canada geese sometimes fly as far as 900 miles (1500 km) northward to molt."
Wood Duck,Aix sponsa,Native,Birds,Ducks and Geese,Habitat,"Forests, marshes, rivers, beaver ponds",Diet,"Seeds, fruit; sometimes insects",Fun Fact,"A rare duck species with strong claws, mainly used to grip and perch on tree branches."
Northern Shoveler,Spatula clypeata,Native,Birds,Ducks and Geese,Habitat,"Marshes, lakes, estuaries",Diet,"Small crustaceans, seeds",Fun Fact,The comb-like nature of their bills allows them to scoop water and filter out crustaceans and seeds to eat.
Mallard,Anas platyrhynchos,Native,Birds,Ducks and Geese,Habitat,"Lakes, ponds",Diet,"Seeds, aquatic vegetation",Fun Fact,Only female mallards quack loudly; males just make a small rasping sound.
Hooded Merganser,Lophodytes cucullatus,Native,Birds,Ducks and Geese,Habitat,"Lakes, ponds",Diet,"Fish, aquatic plants and insects, crayfish, amphibians",Fun Fact,"They can see underwater to hunt; their eyes can refract light differently underwater, and they have an extra set of clear goggle-like eyelids."
Peregrine Falcon,Falco peregrinus,Native,Birds,Falcons,Habitat,"Cliffs, mountains, shorelines",Diet,Smaller birds,Fun Fact,They can fly up to 69 mph (112 km/h) when hunting prey.
American Kestrel,Falco sparverius,Native,Birds,Falcons,Habitat,Open grassland and urban areas,Diet,"Insects, rodents, smaller birds",Fun Fact,One of the smallest birds of prey; they themselves are also prey for larger hawks and owls.
Eastern Wood-Pewee,Contopus virens,Native,Birds,Song Birds,Habitat,Forest edges,Diet,Small insects,Fun Fact,"Known for their distinctive ""pee-a-weee!"" song, which they sing at all times of day."
White-eyed Vireo,Vireo griseus,Native,Birds,Song Birds,Habitat,"Scrub, overgrown pastures, forest",Diet,Insects and other arthropods,Fun Fact,They bathe by rubbing their body against dewy plants in the morning.
Blue Jay,Cyanocitta cristata,Native,Birds,Song Birds,Habitat,"Forests, especially oak",Diet,"Insects, nuts, seeds",Fun Fact,"Highly intelligent birds, they have been known to mimic the call of the Red-Shouldered Hawk as either a warning or a deception tactic."
American Crow,Corvus brachyrhynchos,Native,Birds,Song Birds,Habitat,"Woodlands, farms, urban areas",Diet,"Grain, nuts, seeds, small animals",Fun Fact,Noted for their intelligence; studies have shown that they can remember people and identify them based on appearance.
Carolina Chickadee,Poecile carolinensis,Native,Birds,Song Birds,Habitat,"Forests, swamps, urban areas",Diet,"Insects, spiders, plants in wintertime",Fun Fact,"They are territorial in the winter, living in flocks of 2-8 and defending their areas against other flocks."
Tufted Titmouse,Baeolophus bicolor,Native,Birds,Song Birds,Habitat,"Forests, parks",Diet,"Insects, seeds",Fun Fact,"Known to incorporate animal hair into their nests, sourced from living animals such as squirrels, raccoons, and even humans."
Tree Swallow,Tachycineta bicolor,Native,Birds,Song Birds,Habitat,"Fields, swamps, ponds",Diet,Insects; sometimes plants,Fun Fact,"In the evening time, hundreds of thousands of tree swallows will sometimes converge into a giant swirling flock in the sky."
Purple Martin,Progne subis,Native,Birds,Song Birds,Habitat,"Towns, parks, fields, meadows",Diet,Insects,Fun Fact,Able to eat flying insects at more than 500 feet from the ground.
White-breasted Nuthatch,Sitta carolinensis,Native,Birds,Song Birds,Habitat,"Forests, usually deciduous",Diet,"Insects; sometimes nuts, seeds",Fun Fact,Known to hoard seeds for the winter by stuffing them into gaps in tree bark.
Brown Creeper,Certhia americana,Native,Birds,Song Birds,Habitat,Forests,Diet,"Insects, insect larvae",Fun Fact,Their bills are specially shaped for picking apart loose tree bark.
Carolina Wren,Thryothorus ludovicianus,Native,Birds,Song Birds,Habitat,"Thickets, swamps, woods",Diet,"Insects, spiders; sometimes snakes, frogs",Fun Fact,"For their small size, they produce a startlingly loud song."
Eastern Bluebird,Sialia sialis,Native,Birds,Song Birds,Habitat,Open areas with trees,Diet,"Insects in summer, fruit in winter",Fun Fact,"Male bluebirds will bring material to make a nest, but females are typically responsible for building the nest and tending to the eggs."
American Robin,Turdus migratorius,Native,Birds,Song Birds,Habitat,"Fields, forests, parks, etc.",Diet,"Worms, insects, snails, fruit",Fun Fact,A study has suggested that robins will choose to eat bug-infested fruit in order to round out their diet.
Cedar Waxwing,Bombycilla cedrorum,Native,Birds,Song Birds,Habitat,"Woodlands, especially near water",Diet,Fruit; sometimes insects,Fun Fact,"If a waxwing eats enough honeysuckle berries while growing a tail feather, it will grow out orange instead of the usual yellow."
Pine Warbler,Setophaga pinus,Native,Birds,Song Birds,Habitat,Pine forests,Diet,"Caterpillars, insects; sometimes fruit, seeds",Fun Fact,"In order to lure predators away from the nest, a warbler will perform a ""broken wing display"", pretending to be injured and therefore an easy meal."
Northern Cardinal,Cardinalis cardinalis,Native,Birds,Song Birds,Habitat,"Fields, forest edges",Diet,"Seeds, fruit; sometimes insects",Fun Fact,"Fiercely territorial, cardinals may be seen attacking their reflection in windows and mirrors during springtime."
Indigo Bunting,Passerina cyanea,Native,Birds,Song Birds,Habitat,"Brush, forest edges",Diet,"Seeds, berries, insects",Fun Fact,"These birds actually have no blue pigment; instead, tiny structures in their feathers reflect blue light. They appear dark brown when not lit."
Scarlet Tanager,Piranga olivacea,Native,Birds,Song Birds,Habitat,Forests,Diet,"Insects, fruit, flower buds",Fun Fact,Brown-headed Cowbirds sometimes insert their own eggs into Scarlet Tanager nests; the tanagers will raise the cowbird as one of their own.
Summer Tanager,Piranga rubra,Native,Birds,Song Birds,Habitat,Forests,Diet,"Bees, wasps; sometimes other insects, fruit",Fun Fact,"Before eating a bee or wasp, a Summer Tanager will rub its body against a branch to remove the stinger."
Northern Mockingbird,Mimus polyglottos,Native,Birds,Song Birds,Habitat,"Hedges, thickets, suburban areas",Diet,"Insects in summer, fruit in winter",Fun Fact,Mockingbirds mimic the sounds of other birds; a male mockingbird can learn up to 200 different songs.
Eastern Whip-poor-will,Antrostomus vociferus,Native,Birds,Nightjars,Habitat,Forest edges,Diet,Insects,Fun Fact,"These birds time their egg hatching to occur before a full moon; during this time, they can hunt at night to better feed their little ones."
Wild Turkey,Meleagris gallopavo,Native,Birds,Quail and Pheasants,Habitat,Open forests,Diet,"Nuts, seeds, plants",Fun Fact,"Originally from Mexico, this prized game bird's rich flavor comes from its wild nutty diet."
Northern Bobwhite,Colinus virginianus,Native,Birds,Quail and Pheasants,Habitat,"Fields, grasslands, forests",Diet,"Seeds, leaves; sometimes insects",Fun Fact,Hunting and agriculture have reduced Bobwhite population by 81% since the 1960s. They are now an important target for conservation efforts.
Turkey Vulture,Cathartes aura,Native,Birds,Vultures,Habitat,"Farmland, forests, roadsides",Diet,Carrion (already-dead animals),Fun Fact,"The Turkey Vulture's keen sense of smell allows it to locate carrion from far away, even from above a forest canopy."
Black Vulture,Coragyps atratus,Native,Birds,Vultures,Habitat,"Forests, roadsides",Diet,Carrion (already-dead animals),Fun Fact,"Lacking a strong sense of smell, they mostly find carrion by following and overpowering the Turkey Vultures."
Osprey,Pandion haliaetus,Native,Birds,Eagles and Hawks,Habitat,Shorelines,Diet,Fish,Fun Fact,These particular hawks are specially-evolved to hunt fish; their reversible outer toes are perfect for gripping wet scales.
Golden Eagle,Aquila chrysaetos,Native,Birds,Eagles and Hawks,Habitat,"Open country, mountains",Diet,"Rabbits, squirrels, and other small mammals; sometimes larger ones",Fun Fact,"Famed hunters, these eagles have even been seen fighting off bears and coyotes."
Bald Eagle,Haliaeetus leucocephalus,Native,Birds,Eagles and Hawks,Habitat,Forests near water,Diet,"Fish; sometimes birds, reptiles, amphibians, crabs, mammals",Fun Fact,Their association with American integrity is a bit ironic - Bald Eagles often steal their meals from ospreys and fish-eating mammals.
Red-shouldered Hawk,Buteo lineatus,Native,Birds,Eagles and Hawks,Habitat,"Forests, swamps",Diet,"Small mammals, reptiles, amphibians",Fun Fact,"Males show off to females through a ""sky dance"" - calling while soaring and diving repeatedly through the air."
Red-tailed Hawk,Buteo jamaicensis,Native,Birds,Eagles and Hawks,Habitat,"Fields, grasslands, desert, scrub, parks, etc",Diet,"Small mammals; sometimes birds, reptiles",Fun Fact,"If you've ever heard a magestic eagle scream in a movie or TV show, you've actually heard the call of the Red-Tailed Hawk."
American Barn Owl,Tyto furcata,Native,Birds,Owls,Habitat,"Grasslands, deserts, fields, suburban areas",Diet,"Small mammals, particularly rodents",Fun Fact,"Owls swallow their prey whole, then cough up ""pellets"" of skin, bones, and other undigestible material."
Eastern Screech-Owl,Megascops asio,Native,Birds,Owls,Habitat,Forests,Diet,"Small mammals, birds, insects, worms, amphibians, reptiles",Fun Fact,"These owls dive for prey in a classic U shape: straight down, forward, straight up."
Great Horned Owl,Bubo virginianus,Native,Birds,Owls,Habitat,"Forests, swamps, farmland",Diet,"A large variety of mammals, birds, reptiles, amphibians, fish, etc",Fun Fact,A Great Horned Owl's hearing is amplified by facial disc feathers that catch sound and direct it to the ears.
Barred Owl,Strix varia,Native,Birds,Owls,Habitat,Forests near water,Diet,"A large variety of mammals, birds, reptiles, amphibians, fish, etc",Fun Fact,"This owl has a very recognizable call; it sounds like ""who cooks for you? Who cooks for you?"""
Northern Saw-whet Owl,Aegolius acadicus,Native,Birds,Owls,Habitat,Forests,Diet,"Small mammals, particularly mice",Fun Fact,These smaller owls will typically make two separate meals out of a single mouse.
Yellow-bellied Sapsucker,Sphyrapicus varius,Native,Birds,Woodpeckers,Habitat,Forest edges,Diet,Tree sap,Fun Fact,"Sapsuckers get their sap by tapping holes into maple trees, very similarly to how we humans collect maple syrup."
Red-bellied Woodpecker,Melanerpes carolinus,Native,Birds,Woodpeckers,Habitat,"Forests, suburban areas",Diet,"Insects, nuts, seeds, fruit",Fun Fact,"Their sticky, barbed tongue extends almost 2 inches past the end of their beak."
Downy Woodpecker,Dryobates pubescens,Native,Birds,Woodpeckers,Habitat,"Forests, orchards, parks, suburban areas",Diet,"Insects, berries, acorns, grain",Fun Fact,"Drumming against a tree isn't actually part of woodpeckers' feeding behavior; instead, it's their version of singing."
Northern Flicker,Colaptes auratus,Native,Birds,Woodpeckers,Habitat,"Forest edges, fields, parks, suburban areas",Diet,"Insects (especially ants), fruit, seeds",Fun Fact,"Instead of hammering on trees, this particular woodpecker prefers to use its long tongue to eat ants off the ground."
Pileated Woodpecker,Dryocopus pileatus,Native,Birds,Woodpeckers,Habitat,"Forests, suburban areas",Diet,"Carpenter ants; sometimes other ants, insects, fruit, nuts",Fun Fact,These large woodpeckers can create holes large enough to break small trees in half.
Red-headed Woodpecker,Melanerpes erythrocephalus,Native,Birds,Woodpeckers,Habitat,"Forests, burned areas, swamps, parks, roadsides",Diet,"Insects, fruit, seeds",Fun Fact,They are known to store food - sometimes including live trapped insects - in cracks in wood and bark.
Alabama Bass,Micropterus henshalli,Native,Fish,,Habitat,Freshwater,Diet,"Smaller fish, crayfish, amphibians, insects",Fun Fact,"Labeled a ""Predatory and Undesirable Species"" in Virginia due to its aggresive nature and ability to outcompete Largemouth and Smallmouth bass."
Alewife,Alosa pseudoharengus,Native,Fish,,Habitat,"Anadromous (lives in saltwater, spawns in freshwater)",Diet,"Zooplankton, shrimp; sometimes crustaceans, smaller fish",Fun Fact,"Their name is said to refer to a female tavernkeeper, or ""ale-wife""."
American Shad,Alosa sapidissima,Native,Fish,,Habitat,"Anadromous (lives in saltwater, spawns in freshwater)",Diet,Shrimp; sometimes smaller fish (juveniles eat zooplankton and insect larvae),Fun Fact,"Known as ""America's Founding Fish"" due to their history as an important food source for Indigenous Peoples and early colonists."
Black Crappie,Pomoxis nigromaculatus,Native,Fish,,Habitat,Freshwater,Diet,"Insects, smaller fish",Fun Fact,"They tend to lay their eggs near submerged structures such as tree stumps, brush, or boat docks."
Blue Catfish,Ictalurus furcatus,Native,Fish,,Habitat,"Freshwater, benthic (lays on the bottom of a body of water)",Diet,"Smaller fish, crayfish, mollusks, plants",Fun Fact,"They are nocturnal, staying in dark holes in the riverbed during the day and emerging at night."
Blueback Herring,Alosa aestivalis,Native,Fish,,Habitat,"Anadromous (lives in saltwater, spawns in freshwater)",Diet,"Zooplankton, shrimp, crustaceans, smaller fish",Fun Fact,"These fish have sharp, spiny scales, or ""scutes"", along their underside."
Bluegill,Lepomis macrochirus,Native,Fish,,Habitat,Freshwater,Diet,"Generalist - insects, crustaceans, worms, smaller fish",Fun Fact,"A type of sunfish, these fish will linger near the water's surface to stay warm in the sun."
Channel Catfish,Ictalurus punctatus,Native,Fish,,Habitat,"Freshwater, benthic (lays on the bottom of a body of water)",Diet,"Omnivorous - crustaceans, smaller fish, amphibians; sometimes small mammals",Fun Fact,"These catfish have taste buds all over their body, particularly on their whisker-like ""barbels""."
Common Carp,Cyprinus carpio,Native,Fish,,Habitat,"Freshwater, benthic (lays on the bottom of a body of water)",Diet,"Omnivorous - worms, small crustaceans, fish eggs, mussels, seeds, insects",Fun Fact,"Carp feed by sifting through mud, consuming just about anything that comes up in the process."
